"Time(second)","F1 Score"
"1","[0.48475, 0.8282499999999999, 0.14125000000000001]"
"0.1","[0.49225, 0.8307500000000001, 0.15375]"
"0.04","[0.49224999999999997, 0.8307500000000001, 0.15375]"
