"Time(second)","F1 Score"
"1","[0.493, 0.8310000000000001, 0.15499999999999997]"
"0.1","[0.496, 0.8320000000000001, 0.16]"
"0.04","[0.48774999999999996, 0.82925, 0.14625]"
