"Time(second)","F1 Score"
"1","[0.496, 0.8320000000000001, 0.16]"
"0.1","[0.49749999999999994, 0.8324999999999999, 0.1625]"
"0.04","[0.49450000000000005, 0.8314999999999999, 0.1575]"
