"Time(second)","F1 Score"
"1","[0.493, 0.8310000000000001, 0.15499999999999997]"
"0.1","[0.493, 0.8310000000000001, 0.15499999999999997]"
"0.04","[0.493, 0.8310000000000001, 0.15499999999999997]"
