"Time(second)","F1 Score"
"1","[0.51325, 0.8377500000000001, 0.18874999999999997]"
"0.1","[0.4907500000000001, 0.83025, 0.15125]"
"0.04","[0.49824999999999997, 0.8327500000000001, 0.16375]"
