"Time(second)","F1 Score"
"1","[0.493, 0.8309999999999998, 0.15499999999999997]"
"0.1","[0.4952500000000001, 0.8317500000000001, 0.15875]"
"0.04","[0.49375, 0.83125, 0.15625]"
