"Time(second)","F1 Score"
"1","[0.51325, 0.83775, 0.18874999999999997]"
"0.1","[0.5005, 0.8335000000000001, 0.16749999999999998]"
"0.04","[0.5042500000000001, 0.83475, 0.17375]"
