"Time(second)","F1 Score"
"1","0.75625"
"3","0.83125"
"5","0.825"
"7","0.8354166666666667"
"9","0.8333333333333334"
"11","0.8333333333333334"
"13","0.8291666666666667"
"15","0.8333333333333334"
"17","0.8291666666666667"
"19","0.83125"
"21","0.8333333333333334"
"23","0.8354166666666667"
"25","0.8333333333333334"
"27","0.8333333333333334"
"29","0.8333333333333334"
"31","0.8333333333333334"
"33","0.8333333333333334"
"35","0.8333333333333334"
"37","0.8333333333333334"
"39","0.8333333333333334"
"41","0.8333333333333334"
"43","0.8333333333333334"
"45","0.8333333333333334"
"47","0.8333333333333334"
"49","0.8333333333333334"
